slug,category,title,has_short_description,short_description_length,has_long_description,long_description_length,has_input_schema,has_output_schema,example_calls_count,example_responses_count,has_capability_page,capability_page_length,has_structured_data_markup,page_has_code_example,page_has_response_example,test_files_count,docs_files_count,sample_files_count,tier_classification,maintenance_class,last_updated
wallet-age-check,web3,Wallet Age Check,yes,207,yes,207,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
meta-extract,web-scraping,Meta Extract,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
schema-infer,data-processing,Schema Infer,yes,142,yes,142,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pypi-package-info,data-extraction,PyPI Package Info,yes,111,yes,111,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
employment-cost-estimate,data-extraction,Employment Cost Estimate,yes,124,yes,124,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
tax-id-validate,validation,Tax ID Validate,yes,167,yes,167,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
cve-lookup,security,CVE Lookup,yes,154,yes,154,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
diff-json,validation,Diff JSON,yes,129,yes,129,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
stablecoin-flow-check,web3,Stablecoin Flow Check,yes,200,yes,200,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
secret-scan,security,Secret Scan,yes,146,yes,146,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
protocol-fees-lookup,web3,Protocol Fees Lookup,yes,152,yes,152,yes,yes,1,1,yes,28221,yes,yes,yes,0,1,1,paid,,
screenshot-url,web-scraping,Screenshot URL,yes,115,yes,115,yes,yes,5,1,yes,28221,yes,yes,yes,1,0,1,paid,,
invoice-validate,validation,Invoice Validate,yes,103,yes,103,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
currency-convert,financial,Currency Convert,yes,128,yes,128,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ens-resolve,web3,ENS Resolve,yes,164,yes,164,yes,yes,1,1,yes,28221,yes,yes,yes,0,0,1,paid,,
eu-court-case-search,data-extraction,EU Court Case Search,yes,106,yes,106,yes,yes,2,0,yes,28221,yes,yes,yes,1,0,1,paid,,
credit-report-summary,financial,Credit Report Summary,yes,175,yes,175,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
robots-txt-parse,monitoring,Robots.txt Parse,yes,131,yes,131,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
summarize,text-processing,Summarize Text,yes,121,yes,121,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
risk-narrative-generate,agent-tooling,Risk Narrative Generator,yes,173,yes,173,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
startup-domain-check,utility,Startup Domain Check,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-to-zod,developer-tools,JSON to Zod,yes,116,yes,116,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
iban-validate,validation,IBAN Validation,yes,160,yes,160,yes,yes,1,1,yes,28221,yes,yes,yes,1,3,1,free,,
package-security-audit,security,Package Security Audit,yes,239,yes,239,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
work-permit-requirements,data-extraction,Work Permit Requirements,yes,111,yes,111,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
address-parse,data-processing,Address Parse,yes,145,yes,145,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
adverse-media-check,compliance,Adverse Media Check,yes,280,yes,280,yes,yes,3,1,yes,28221,yes,yes,yes,1,1,1,paid,,
unit-convert,data-processing,Unit Convert,yes,109,yes,109,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ens-reverse-lookup,web3,ENS Reverse Lookup,yes,173,yes,173,yes,yes,1,1,yes,28221,yes,yes,yes,0,0,1,paid,,
nginx-config-generate,developer-tools,Nginx Config Generate,yes,119,yes,119,yes,yes,6,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sanctions-check,compliance,Sanctions Check,yes,182,yes,182,yes,yes,2,1,yes,28221,yes,yes,yes,3,1,1,paid,,
docstring-generate,developer-tools,Docstring Generate,yes,90,no,90,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
llm-cost-calculate,developer-tools,LLM Cost Calculate,yes,132,yes,132,yes,yes,5,0,yes,28221,yes,yes,yes,1,0,1,paid,,
website-carbon-estimate,data-extraction,Website Carbon Estimate,yes,111,yes,111,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
business-day-check,validation,Business Day Check,yes,170,yes,170,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
llm-output-validate,agent-tooling,LLM Output Validate,yes,141,yes,141,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
flight-status,data-extraction,Flight Status,yes,153,yes,153,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ted-procurement,data-extraction,EU Procurement Tender Search,yes,179,yes,179,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
name-parse,data-processing,Name Parse,yes,135,yes,135,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
linkedin-url-validate,validation,LinkedIn URL Validate,yes,113,yes,113,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
backlink-check,data-extraction,Backlink Check,yes,127,yes,127,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
api-health-check,validation,API Health Check,yes,106,yes,106,yes,yes,6,1,yes,28221,yes,yes,yes,1,0,1,paid,,
approval-security-check,web3,Approval Security Check,yes,200,yes,200,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
xml-to-json,data-processing,XML to JSON,yes,105,yes,105,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
data-protection-authority-lookup,data-extraction,Data Protection Authority Lookup,yes,116,yes,116,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
uk-company-data,data-extraction,UK Company Data,yes,183,yes,183,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
docker-hub-info,data-extraction,Docker Hub Info,yes,126,yes,126,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
country-tax-rates,data-extraction,Country Tax Rates,yes,104,yes,104,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
data-quality-check,data-processing,Data Quality Check,yes,155,yes,155,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
vasp-non-compliant-check,web3,VASP Non-Compliant Check,yes,174,yes,174,yes,yes,2,1,yes,28221,yes,yes,yes,0,0,1,paid,,
code-review,agent-tooling,Code Review,yes,130,yes,130,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
food-safety-rating-uk,data-extraction,Food Safety Rating UK,yes,131,yes,131,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
shipping-track,data-extraction,Shipping Track,yes,155,yes,155,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
dutch-company-data,data-extraction,Dutch Company Data,yes,112,yes,112,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
contract-extract,document-extraction,Contract Extract,yes,156,yes,156,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
wallet-balance-lookup,web3,Wallet Balance Lookup,yes,157,yes,157,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
cookie-scan,data-extraction,Cookie Scan,yes,120,yes,120,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
github-actions-generate,developer-tools,GitHub Actions Generate,yes,132,yes,132,yes,yes,5,1,yes,28221,yes,yes,yes,1,0,1,paid,,
holiday-calendar,data-extraction,Holiday Calendar,yes,168,yes,168,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
payment-reference-generate,utility,Payment Reference Generate,yes,120,yes,120,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
mx-lookup,monitoring,MX Lookup,yes,123,yes,123,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
test-case-generate,developer-tools,Test Case Generate,yes,127,yes,127,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-to-typescript,developer-tools,JSON to TypeScript,yes,132,yes,132,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
commit-message-generate,developer-tools,Commit Message Generate,yes,112,yes,112,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
wallet-transactions-lookup,web3,Wallet Transactions Lookup,yes,180,yes,180,yes,yes,3,1,yes,28221,yes,yes,yes,0,1,1,paid,,
norwegian-company-data,data-extraction,Norwegian Company Data,yes,121,yes,121,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
base64-encode-url,file-conversion,Base64 Encode URL,yes,129,yes,129,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
stock-quote,financial,Stock Quote,yes,155,yes,155,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
beneficial-ownership-lookup,compliance,Beneficial Ownership Lookup,yes,257,yes,257,yes,yes,3,1,yes,28221,yes,yes,yes,1,1,1,paid,,
id-number-validate,validation,ID Number Validate,yes,270,yes,270,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
phone-normalize,data-processing,Phone Normalize,yes,120,yes,120,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
marketplace-fee-calculate,utility,Marketplace Fee Calculate,yes,102,yes,102,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
whois-lookup,web-intelligence,WHOIS Lookup,yes,134,yes,134,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
port-lookup,data-extraction,Port Lookup,yes,99,no,99,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
keyword-suggest,data-extraction,Keyword Suggest,yes,114,yes,114,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
social-profile-check,data-extraction,Social Profile Check,yes,118,yes,118,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
australian-company-data,data-extraction,Australian Company Data,yes,112,yes,112,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
dangerous-goods-classify,data-extraction,Dangerous Goods Classify,yes,143,yes,143,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
port-check,monitoring,Port Check,yes,127,yes,127,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
crontab-generate,developer-tools,Crontab Generate,yes,117,yes,117,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
vat-format-validate,validation,VAT Format Validation,yes,197,yes,197,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
phone-type-detect,validation,Phone Type Detect,yes,151,yes,151,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
forex-history,data-extraction,Forex History,yes,112,yes,112,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
classify-text,text-processing,Text Classification,yes,142,yes,142,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
company-tech-stack,competitive-intelligence,Company Tech Stack,yes,171,yes,171,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
schema-migration-generate,developer-tools,Schema Migration Generate,yes,118,yes,118,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
phone-validate,validation,Phone Validate,yes,159,yes,159,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
hs-code-lookup,trade,HS Code Lookup,yes,162,yes,162,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
charity-lookup-uk,data-extraction,Charity Lookup UK,yes,127,yes,127,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
password-strength,security,Password Strength,yes,171,yes,171,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
protocol-tvl-lookup,web3,Protocol TVL Lookup,yes,180,yes,180,yes,yes,1,1,yes,28221,yes,yes,yes,0,1,1,paid,,
weather-lookup,data-extraction,Weather Lookup,yes,113,yes,113,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
uk-companies-house-officers,data-extraction,UK Companies House Officers,yes,143,yes,143,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
github-repo-analyze,developer-tools,GitHub Repo Analyze,yes,163,yes,163,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
domain-age-check,data-extraction,Domain Age Check,yes,172,yes,172,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
gas-price-check,web3,Gas Price Check,yes,184,yes,184,yes,yes,1,1,yes,28221,yes,yes,yes,0,1,1,paid,,
shipping-cost-estimate,data-extraction,Shipping Cost Estimate,yes,96,no,96,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ssl-certificate-chain,monitoring,SSL Certificate Chain,yes,142,yes,142,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
eori-validate,validation,EORI Validation,yes,161,yes,161,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
timezone-meeting-find,utility,Timezone Meeting Finder,yes,131,yes,131,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
eu-ai-act-classify,validation,EU AI Act Classify,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
fear-greed-index,web3,Fear & Greed Index,yes,221,yes,221,yes,yes,1,1,yes,28221,yes,yes,yes,0,1,1,paid,,
jwt-decode,developer-tools,JWT Decode,yes,124,yes,124,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
redirect-trace,monitoring,Redirect Trace,yes,116,yes,116,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pdf-extract,data-extraction,PDF Data Extraction,yes,191,yes,191,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
landing-page-roast,competitive-intelligence,Landing Page Roast,yes,166,yes,166,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
country-trade-data,data-extraction,Country Trade Data,yes,115,yes,115,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
eu-trademark-search,data-extraction,EU Trademark Search,yes,127,yes,127,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
prompt-compress,developer-tools,Prompt Compress,yes,112,yes,112,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
github-user-profile,data-extraction,GitHub User Profile,yes,107,yes,107,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
credit-score-band,data-processing,Credit Score Band,yes,171,yes,171,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
company-name-match,data-processing,Company Name Match,yes,219,yes,219,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
meeting-notes-extract,document-extraction,Meeting Notes Extract,yes,140,yes,140,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
privacy-policy-analyze,data-extraction,Privacy Policy Analyze,yes,128,yes,128,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
incoterms-explain,data-extraction,Incoterms Explain,yes,106,yes,106,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-to-csv,data-processing,JSON to CSV,yes,112,yes,112,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pr-description-generate,developer-tools,PR Description Generate,yes,114,yes,114,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
deduplicate,data-processing,Deduplicate,yes,127,yes,127,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
polish-company-data,data-extraction,Polish Company Data,yes,178,yes,178,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
skill-extract,data-extraction,Skill Extract,yes,131,yes,131,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
dependency-audit,developer-tools,Dependency Audit,yes,158,yes,158,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
cron-explain,validation,Cron Explain,yes,104,yes,104,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pep-check,compliance,PEP Check,yes,226,yes,226,yes,yes,3,1,yes,28221,yes,yes,yes,1,1,1,paid,,
wallet-risk-score,web3,Wallet Risk Score,yes,204,yes,204,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
terms-of-service-extract,data-extraction,Terms of Service Extract,yes,118,yes,118,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
annual-report-extract,data-extraction,Swedish Annual Report Extraction,yes,160,yes,160,yes,yes,2,0,yes,28221,yes,yes,yes,1,0,1,paid,,
aml-risk-score,compliance,AML Risk Score,yes,214,yes,214,yes,yes,6,1,yes,28221,yes,yes,yes,1,1,1,paid,,
accessibility-audit,validation,Accessibility Audit,yes,158,yes,158,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
timezone-lookup,data-extraction,Timezone Lookup,yes,150,yes,150,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sitemap-parse,monitoring,Sitemap Parse,yes,110,yes,110,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
regex-generate,validation,Regex Generate,yes,125,yes,125,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sepa-xml-validate,validation,SEPA XML Validate,yes,134,yes,134,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
image-to-text,file-conversion,Image to Text (OCR),yes,127,yes,127,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
curl-to-code,developer-tools,cURL to Code,yes,88,no,88,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
social-post-generate,content-writing,Social Post Generate,yes,143,yes,143,yes,yes,5,1,yes,28221,yes,yes,yes,1,0,1,paid,,
dockerfile-generate,developer-tools,Dockerfile Generate,yes,151,yes,151,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
resume-parse,document-extraction,Resume Parse,yes,145,yes,145,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sentiment-analyze,text-processing,Sentiment Analysis,yes,138,yes,138,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
code-convert,developer-tools,Code Convert,yes,122,yes,122,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
api-docs-generate,developer-tools,API Docs Generate,yes,151,yes,151,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
lithuanian-company-data,data-extraction,Lithuanian Company Data,yes,111,yes,111,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
contract-verify-check,web3,Contract Verification Check,yes,217,yes,217,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
csv-clean,data-processing,CSV Clean,yes,137,yes,137,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
product-search,data-extraction,Product Search,yes,97,no,97,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
api-mock-response,developer-tools,API Mock Response,yes,104,yes,104,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
french-company-data,data-extraction,French Company Data,yes,178,yes,178,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
license-compatibility-check,security,License Compatibility Check,yes,229,yes,229,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
au-company-data,company-data,Australian Company Data (ABR),yes,219,yes,219,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
email-validate,validation,Email Validation,yes,134,yes,134,yes,yes,1,1,yes,28221,yes,yes,yes,1,2,1,free,,
github-repo-compare,data-extraction,GitHub Repo Compare,yes,125,yes,125,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
image-resize,file-conversion,Image Resize,yes,115,yes,115,yes,yes,7,1,yes,28221,yes,yes,yes,1,0,1,paid,,
patent-search,data-extraction,Patent Search,yes,128,yes,128,yes,yes,2,0,yes,28221,yes,yes,yes,1,0,1,paid,,
tech-stack-detect,web-intelligence,Tech Stack Detection,yes,141,yes,141,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
agent-trace-analyze,developer-tools,Agent Trace Analyze,yes,134,yes,134,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
address-geocode,data-extraction,Address Geocode,yes,155,yes,155,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
context-window-optimize,developer-tools,Context Window Optimize,yes,120,yes,120,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
skill-gap-analyze,data-extraction,Skill Gap Analyze,yes,119,yes,119,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
trustpilot-score,data-extraction,Trustpilot Score,yes,104,yes,104,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
domain-reputation,compliance,Domain Reputation,yes,143,yes,143,yes,yes,1,1,yes,28221,yes,yes,yes,1,1,1,paid,,
language-detect,data-processing,Language Detect,yes,156,yes,156,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
address-validate,validation,Address Validate,yes,175,yes,175,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
webhook-test-payload,developer-tools,Webhook Test Payload,yes,144,yes,144,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
token-count,developer-tools,Token Count,yes,126,yes,126,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
serp-analyze,data-extraction,SERP Analyze,yes,119,yes,119,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
belgian-company-data,data-extraction,Belgian Company Data,yes,156,yes,156,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
job-posting-analyze,developer-tools,Job Posting Analyze,yes,134,yes,134,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
financial-year-dates,data-extraction,Financial Year Dates,yes,88,no,88,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ip-geolocation,data-extraction,IP Geolocation,yes,115,yes,115,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
exchange-rate,financial,Exchange Rate,yes,133,yes,133,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
bank-bic-lookup,validation,Bank BIC Lookup,yes,94,no,94,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
japanese-company-data,data-extraction,Japanese Company Data,yes,140,yes,140,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
url-to-markdown,web-scraping,URL to Markdown,yes,276,yes,276,yes,yes,3,1,yes,28221,yes,yes,yes,1,2,1,free,,
german-company-data,data-extraction,German Company Data,yes,99,no,99,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
price-compare,data-extraction,Price Compare,yes,116,yes,116,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
flatten-json,data-processing,Flatten JSON,yes,141,yes,141,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
canadian-company-data,data-extraction,Canadian Company Data,yes,105,yes,105,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
customs-duty-lookup,data-extraction,Customs Duty Lookup,yes,120,yes,120,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
company-enrich,data-extraction,Company Enrichment,yes,179,yes,179,yes,yes,1,0,yes,28221,yes,yes,yes,1,0,1,paid,,
date-parse,data-processing,Date Parse,yes,121,yes,121,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
business-license-check-se,data-extraction,Business License Check SE,yes,103,yes,103,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
swift-message-parse,data-extraction,SWIFT Message Parse,yes,126,yes,126,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
tool-call-validate,developer-tools,Tool Call Validate,yes,115,yes,115,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
page-speed-test,data-extraction,Page Speed Test,yes,124,yes,124,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
danish-company-data,data-extraction,Danish Company Data,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
isbn-validate,validation,ISBN Validation,yes,132,yes,132,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
eu-regulation-search,compliance,EU Regulation Search,yes,139,yes,139,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sql-generate,developer-tools,SQL Generate,yes,138,yes,138,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
openapi-validate,developer-tools,OpenAPI Validate,yes,116,yes,116,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
